customer_id_old,source_id_old,customer_id_new,source_id_new
cus_TJevdVNVLgmIFi,card_1SOOVRG169MUOFIqhbTaK6VN,cus_TJevdVNVLgmIFi,card_1TGpnaLfpHJZVq4IeATscLZC
cus_Tg1p1JcKXWzV9d,pm_1SifnMG169MUOFIqccvhUVjv,cus_Tg1p1JcKXWzV9d,pm_1TGpnZLfpHJZVq4IHzR1tnrv
cus_Tg0SSkJAdXphHy,pm_1SieSXG169MUOFIqR8WYQdZ0,cus_Tg0SSkJAdXphHy,pm_1TGpnYLfpHJZVq4I13AhGVmL
cus_TMHy739B3cjJhW,pm_1SPZPVG169MUOFIqtXmFTIl8,cus_TMHy739B3cjJhW,pm_1TGpnYLfpHJZVq4Iy6k0qHWw
cus_TdYfbMisTs6F4Z,card_1SgHXyG169MUOFIqRX1TvIu1,cus_TdYfbMisTs6F4Z,card_1TGpnXLfpHJZVq4INmidoePN
cus_TMk6umVTcQHqil,pm_1SQ0diG169MUOFIqUBLwY3GL,cus_TMk6umVTcQHqil,pm_1TGpnWLfpHJZVq4IBMedDCmA
cus_U5VKqqHm0l1a7w,card_1T852lG169MUOFIq3fUJCRsN,cus_U5VKqqHm0l1a7w,card_1TGpnWLfpHJZVq4IOMeaJMkZ
cus_TkHo0MxB4ZsWw4,card_1SmnEiG169MUOFIqUCCzUCIu,cus_TkHo0MxB4ZsWw4,card_1TGpnVLfpHJZVq4IAggnssGy
cus_TgQcbio2qWf8AK,pm_1Sj3lXG169MUOFIqjACmSBmN,cus_TgQcbio2qWf8AK,pm_1TGpnULfpHJZVq4IFsRCb7if
cus_Tb9jNJpKpVDaNu,pm_1SdxQQG169MUOFIq31cejkuY,cus_Tb9jNJpKpVDaNu,pm_1TGpnTLfpHJZVq4ItZVYFbkk
cus_TUnvjWicIgOS3D,pm_1SXoJsG169MUOFIqw9EI7iGO,cus_TUnvjWicIgOS3D,pm_1TGpnTLfpHJZVq4IzmSurOs3
cus_TJer7ZZmlOeFYU,card_1SN1XhG169MUOFIq6Iv6YInY,cus_TJer7ZZmlOeFYU,card_1TGpnSLfpHJZVq4IKl4cscvW
cus_TQQgLDDUAIXXxj,card_1STZpIG169MUOFIqWSS5Ijeg,cus_TQQgLDDUAIXXxj,card_1TGpnRLfpHJZVq4IulWtx1rD
cus_TMyYaZrcLMqDHK,card_1SQEb2G169MUOFIqdc0h2EBV,cus_TMyYaZrcLMqDHK,card_1TGpnRLfpHJZVq4I3RVQ0AOW
cus_U9zTtuowSIbGnk,pm_1TBfW4G169MUOFIqGZ70BDxf,cus_U9zTtuowSIbGnk,pm_1TGpnQLfpHJZVq4I03ycVz6K
cus_TtHXdNaQMiwsxx,pm_1SvUyqG169MUOFIqkgKRK3Zw,cus_TtHXdNaQMiwsxx,pm_1TGpnPLfpHJZVq4IfYDcX0o7
cus_TWNFe3k9EjU1W0,card_1SZKUoG169MUOFIqRqVXfGl8,cus_TWNFe3k9EjU1W0,card_1TGpnOLfpHJZVq4IfJuAZbH9
cus_TJa7juyUSg7wC2,pm_1SMwzZG169MUOFIqCRamC34u,cus_TJa7juyUSg7wC2,pm_1TGpnOLfpHJZVq4I2rlBXre7
cus_TwCIaDVkSh37JK,,cus_TwCIaDVkSh37JK,
cus_U7Ut3Jp8BKGY4c,,cus_U7Ut3Jp8BKGY4c,
cus_U2TX3jsvc8THah,pm_1T4ObEG169MUOFIqchi12a5I,cus_U2TX3jsvc8THah,pm_1TGpnMLfpHJZVq4IgaAkuc3G
cus_Tdu8o0M2SERN88,,cus_Tdu8o0M2SERN88,
cus_TMBnSznqI392IN,,cus_TMBnSznqI392IN,
cus_TOt4oUpjshLXIy,,cus_TOt4oUpjshLXIy,
cus_TdRzTHqH6ov6Vu,,cus_TdRzTHqH6ov6Vu,
cus_Tcg78QY5w6d0m4,,cus_Tcg78QY5w6d0m4,
cus_TqHqsDuGwYxgaw,,cus_TqHqsDuGwYxgaw,
cus_ThHV3bgvavE2xe,,cus_ThHV3bgvavE2xe,
cus_TbzydGbEb1u876,,cus_TbzydGbEb1u876,
cus_Ta29vYNt5Te3w2,,cus_Ta29vYNt5Te3w2,
cus_U8XxfV5l6YcTuv,,cus_U8XxfV5l6YcTuv,
cus_U8CGzYxcpz7gVt,,cus_U8CGzYxcpz7gVt,
cus_TKJqZoClZKauGz,,cus_TKJqZoClZKauGz,
cus_U2HMgFOFwYfjSW,,cus_U2HMgFOFwYfjSW,
cus_TwDNXvnZ1McwgM,,cus_TwDNXvnZ1McwgM,
cus_TstwYnGse3lO9q,,cus_TstwYnGse3lO9q,
cus_TdXNm3eJk7lijQ,,cus_TdXNm3eJk7lijQ,
cus_TXov1X0FjCNBU1,,cus_TXov1X0FjCNBU1,
cus_UAQrlBtOzsaulu,,cus_UAQrlBtOzsaulu,
